name,pd_notation
3_1,"[[2,5,3,6],[4,1,5,2],[6,3,1,4]]"
4_1,"[[1,4,2,5],[3,7,4,6],[5,8,6,1],[7,3,8,2]]"
5_1,"[[2,8,3,7],[4,10,5,9],[6,2,7,1],[8,4,9,3],[10,6,1,5]]"
5_2,"[[1,5,2,4],[3,9,4,8],[5,1,6,10],[7,3,8,2],[9,7,10,6]]"
6_1,"[[1,9,2,8],[3,7,4,6],[5,10,6,11],[7,3,8,2],[9,1,10,12],[11,4,12,5]]"
6_2,"[[1,8,2,9],[3,11,4,10],[5,1,6,12],[7,2,8,3],[9,7,10,6],[11,5,12,4]]"
6_3,"[[4,2,5,1],[8,4,9,3],[12,9,1,10],[10,5,11,6],[6,11,7,12],[2,8,3,7]]"
7_1,"[[1,9,2,8],[3,11,4,10],[5,13,6,12],[7,1,8,14],[9,3,10,2],[11,5,12,4],[13,7,14,6]]"
7_2,"[[2,10,3,9],[4,14,5,13],[6,12,7,11],[8,2,9,1],[10,8,11,7],[12,6,13,5],[14,4,1,3]]"
7_3,"[[1,9,2,8],[3,11,4,10],[5,1,6,14],[7,13,8,12],[9,3,10,2],[11,5,12,4],[13,7,14,6]]"
7_4,"[[2,10,3,9],[4,12,5,11],[6,14,7,13],[8,4,9,3],[10,2,11,1],[12,8,13,7],[14,6,1,5]]"
7_5,"[[2,10,3,9],[4,2,5,1],[6,14,7,13],[8,12,9,11],[10,4,11,3],[12,6,13,5],[14,8,1,7]]"
7_6,"[[1,13,2,12],[3,9,4,8],[5,1,6,14],[7,10,8,11],[9,3,10,2],[11,6,12,7],[13,5,14,4]]"
7_7,"[[1,10,2,11],[3,13,4,12],[5,14,6,1],[7,5,8,4],[9,2,10,3],[11,9,12,8],[13,6,14,7]]"
8_19,"[[2,14,3,13],[5,11,6,10],[7,5,8,4],[8,16,9,15],[11,7,12,6],[12,2,13,1],[14,4,15,3],[16,10,1,9]]"
8_19_modified,"[[1,15,2,14],[5,17,6,16],[6,12,7,11],[9,5,10,4],[10,16,11,15],[12,8,13,7],[13,3,14,2],[17,9,18,8],[18,4,1,3]]"
12_1_001,"[[1,5,2,4],[3,8,4,9],[5,11,6,10],[7,14,8,15],[9,2,10,3],[11,17,12,16],[13,21,14,20],[15,6,16,7],[17,22,18,23],[19,13,20,12],[21,24,22,1],[23,18,24,19]]"
unknot_equivalent,"[[1,4,2,5],[6,3,7,4],[7,3,8,2],[8,6,1,5]]"
thistlethwaite_unknot,"[[1,16,2,17],[3,23,4,22],[5,20,6,21],[6,28,7,27],[7,14,8,15],[10,24,11,23],[12,19,13,20],[13,29,14,28],[15,2,16,3],[17,30,18,1],[18,9,19,10],[21,27,22,26],[24,12,25,11],[25,5,26,4],[29,9,30,8]]"
